Marker Chrom Pos_start
Chr1SNP6 1 0.20274
Chr1SNP8 1 0.235617
Chr1SNP14 1 0.345206
Chr1SNP16 1 0.410959
Chr1SNP18 1 0.476713
Chr1SNP27 1 0.936987
Chr1SNP31 1 1.057535
Chr1SNP35 1 1.167124
Chr1SNP37 1 1.254795
Chr1SNP38 1 1.265754
Chr1SNP43 1 1.40822
Chr1SNP56 1 1.736987
Chr1SNP57 1 1.747946
Chr1SNP60 1 1.967124
Chr1SNP65 1 2.131507
Chr1SNP71 1 2.427398
Chr1SNP81 1 2.756165
Chr1SNP92 1 3.117809
Chr1SNP94 1 3.139727
Chr1SNP97 1 3.194521
Chr1SNP100 1 3.260274
Chr1SNP103 1 3.457535
Chr1SNP118 1 4.279453
Chr1SNP135 1 4.958905
Chr1SNP143 1 5.276713
Chr1SNP145 1 5.30959
Chr1SNP146 1 5.342466
Chr1SNP155 1 5.594521
Chr1SNP165 1 5.923288
Chr1SNP167 1 5.945206
Chr1SNP170 1 6.032877
Chr1SNP172 1 6.164384
Chr1SNP174 1 6.30685
Chr1SNP180 1 6.493151
Chr1SNP182 1 6.690411
Chr1SNP184 1 6.767124
Chr1SNP206 1 7.424658
Chr1SNP207 1 7.435617
Chr1SNP216 1 8.00548
Chr1SNP220 1 8.126028
Chr1SNP228 1 8.323288
Chr1SNP232 1 8.410959
Chr1SNP241 1 9.00274
Chr1SNP248 1 9.265754
Chr1SNP264 1 9.835617
Chr1SNP265 1 9.846576
Chr1SNP275 1 10.690411
Chr1SNP286 1 11.030137
Chr1SNP288 1 11.150685
Chr1SNP290 1 11.293151
Chr1SNP296 1 11.70959
Chr1SNP300 1 11.830137
Chr1SNP302 1 11.928768
Chr1SNP303 1 11.961644
Chr1SNP304 1 12.049316
Chr1SNP307 1 12.213699
Chr1SNP312 1 12.454795
Chr1SNP313 1 12.465754
Chr1SNP325 1 13.079453
Chr1SNP331 1 13.715069
Chr1SNP338 1 14.021918
Chr1SNP342 1 14.120548
Chr1SNP344 1 14.197261
Chr1SNP347 1 14.427398
Chr1SNP348 1 14.449316
Chr1SNP351 1 14.668494
Chr1SNP355 1 14.854795
Chr1SNP364 1 15.20548
Chr1SNP368 1 15.424658
Chr1SNP377 1 15.698631
Chr1SNP379 1 15.80822
Chr1SNP386 1 16.147946
Chr1SNP391 1 16.378083
Chr1SNP393 1 16.421918
Chr1SNP398 1 16.60822
Chr1SNP400 1 16.684932
Chr1SNP406 1 16.915069
Chr1SNP419 1 17.40822
Chr1SNP420 1 17.430137
Chr1SNP423 1 17.495891
Chr1SNP426 1 17.572603
Chr1SNP427 1 17.594521
Chr1SNP428 1 17.627398
Chr1SNP429 1 17.693151
Chr1SNP439 1 17.934247
Chr1SNP444 1 18.219179
Chr1SNP446 1 18.295891
Chr1SNP449 1 18.427398
Chr1SNP459 1 18.668494
Chr1SNP463 1 18.931507
Chr1SNP466 1 18.997261
Chr1SNP468 1 19.150685
Chr1SNP470 1 19.260274
Chr1SNP472 1 19.293151
Chr1SNP475 1 19.534247
Chr1SNP478 1 19.610959
Chr1SNP479 1 19.676713
Chr1SNP490 1 19.884932
Chr1SNP499 1 20.158905
Chr1SNP506 1 20.586302
Chr1SNP507 1 20.673973
Chr1SNP510 1 21.024658
Chr1SNP512 1 21.057535
Chr1SNP517 1 21.189042
Chr1SNP518 1 21.2
Chr1SNP525 1 21.441096
Chr1SNP545 1 21.967124
Chr1SNP546 1 21.989042
Chr1SNP554 1 22.295891
Chr1SNP569 1 23.183562
Chr1SNP570 1 23.20548
Chr1SNP590 1 24.323288
Chr1SNP603 1 24.871233
Chr1SNP611 1 25.331507
Chr1SNP625 1 25.989042
Chr1SNP626 1 26
Chr1SNP630 1 26.230137
Chr1SNP631 1 26.263014
Chr1SNP637 1 26.547946
Chr1SNP647 1 26.887672
Chr1SNP659 1 27.315069
Chr1SNP660 1 27.380822
Chr1SNP672 1 27.994521
Chr1SNP674 1 28.071233
Chr1SNP682 1 28.400001
Chr1SNP686 1 28.542466
Chr1SNP699 1 29.342466
Chr1SNP707 1 29.561644
Chr1SNP709 1 29.671233
Chr1SNP712 1 29.868494
Chr1SNP717 1 30
Chr1SNP720 1 30.547946
Chr1SNP725 1 30.756165
Chr1SNP727 1 30.865754
Chr1SNP743 1 31.282192
Chr1SNP748 1 31.391781
Chr1SNP753 1 31.589042
Chr1SNP780 1 32.531507
Chr1SNP784 1 32.673973
Chr1SNP789 1 32.860274
Chr1SNP795 1 33.123288
Chr1SNP812 1 33.989042
Chr1SNP814 1 34.021918
Chr1SNP818 1 34.252055
Chr1SNP821 1 34.482192
Chr1SNP823 1 34.558905
Chr1SNP833 1 34.942466
Chr1SNP835 1 34.986302
Chr1SNP851 1 35.764384
Chr1SNP865 1 36.323288
Chr1SNP891 1 37.495891
Chr1SNP900 1 38.142466
Chr1SNP906 1 38.493151
Chr1SNP911 1 38.810959
Chr1SNP923 1 39.260274
Chr1SNP927 1 39.523288
Chr1SNP931 1 39.753425
Chr1SNP948 1 40.772603
Chr1SNP949 1 41.013699
Chr1SNP976 1 42.547946
Chr1SNP982 1 42.887672
Chr1SNP992 1 43.512329
Chr1SNP1007 1 44.367124
Chr1SNP1027 1 45.473973
Chr1SNP1028 1 45.484932
Chr1SNP1032 1 45.561644
Chr1SNP1040 1 45.934247
Chr1SNP1044 1 46.20822
Chr1SNP1052 1 46.515069
Chr1SNP1054 1 46.624658
Chr1SNP1074 1 47.786302
Chr1SNP1075 1 47.983562
Chr1SNP1079 1 48.345206
Chr1SNP1088 1 48.915069
Chr1SNP1105 1 49.386302
Chr1SNP1106 1 49.539727
Chr1SNP1113 1 49.736987
Chr1SNP1115 1 49.791781
Chr1SNP1122 1 50.054795
Chr1SNP1124 1 50.098631
Chr1SNP1128 1 50.175343
Chr1SNP1135 1 50.580822
Chr1SNP1143 1 51.00822
Chr1SNP1150 1 51.293151
Chr1SNP1151 1 51.457535
Chr1SNP1153 1 51.490411
Chr1SNP1154 1 51.545206
Chr1SNP1157 1 51.610959
Chr1SNP1160 1 51.665754
Chr1SNP1162 1 51.720548
Chr1SNP1165 1 51.841096
Chr1SNP1166 1 51.884932
Chr1SNP1169 1 51.939727
Chr1SNP1178 1 52.389042
Chr1SNP1180 1 52.586302
Chr1SNP1181 1 52.641096
Chr1SNP1183 1 52.695891
Chr1SNP1196 1 60.575343
Chr1SNP1198 1 60.80548
Chr1SNP1211 1 61.561644
Chr1SNP1214 1 61.682192
Chr1SNP1217 1 73.736987
Chr1SNP1223 1 73.934247
Chr1SNP1230 1 74.361644
Chr1SNP1233 1 74.547946
Chr1SNP1245 1 75.578083
Chr1SNP1246 1 75.589042
Chr1SNP1257 1 75.928768
Chr1SNP1271 1 76.323288
Chr1SNP1274 1 76.498631
Chr1SNP1277 1 76.564384
Chr1SNP1280 1 76.663014
Chr1SNP1293 1 77.079453
Chr1SNP1298 1 77.287672
Chr1SNP1302 1 77.364384
Chr1SNP1307 1 77.791781
Chr1SNP1309 1 77.857535
Chr1SNP1310 1 77.879453
Chr1SNP1315 1 78.076713
Chr1SNP1318 1 78.120548
Chr1SNP1323 1 78.350685
Chr1SNP1324 1 78.416439
Chr1SNP1325 1 78.493151
Chr1SNP1331 1 78.920548
Chr1SNP1334 1 78.997261
Chr1SNP1337 1 79.10685
Chr1SNP1347 1 79.413699
Chr1SNP1350 1 79.490411
Chr2SNP3 2 0.093151
Chr2SNP5 2 0.115069
Chr2SNP6 2 0.191781
Chr2SNP12 2 0.345206
Chr2SNP20 2 0.465754
Chr2SNP48 2 1.024658
Chr2SNP49 2 1.079453
Chr2SNP57 2 1.232877
Chr2SNP63 2 1.353425
Chr2SNP100 2 2.438357
Chr2SNP107 2 2.712329
Chr2SNP112 2 2.876713
Chr2SNP123 2 3.172603
Chr2SNP139 2 3.6
Chr2SNP162 2 4.235617
Chr2SNP170 2 4.389042
Chr2SNP177 2 4.564384
Chr2SNP179 2 4.630137
Chr2SNP180 2 4.673973
Chr2SNP184 2 4.783562
Chr2SNP186 2 4.816439
Chr2SNP196 2 5.046576
Chr2SNP204 2 5.221918
Chr2SNP206 2 5.254795
Chr2SNP214 2 5.40822
Chr2SNP215 2 5.463014
Chr2SNP253 2 6.394521
Chr2SNP258 2 6.536987
Chr2SNP264 2 6.712329
Chr2SNP266 2 6.745206
Chr2SNP267 2 6.767124
Chr2SNP281 2 7.238357
Chr2SNP288 2 7.435617
Chr2SNP290 2 7.490411
Chr2SNP291 2 7.556165
Chr2SNP296 2 7.654795
Chr2SNP299 2 7.720548
Chr2SNP302 2 7.830137
Chr2SNP303 2 7.852055
Chr2SNP319 2 8.454795
Chr2SNP327 2 8.684932
Chr2SNP335 2 9.024658
Chr2SNP346 2 9.342466
Chr2SNP362 2 9.80274
Chr2SNP380 2 10.328768
Chr2SNP381 2 10.350685
Chr2SNP383 2 10.416439
Chr2SNP386 2 10.460274
Chr2SNP397 2 10.778083
Chr2SNP398 2 10.789042
Chr2SNP399 2 10.821918
Chr2SNP402 2 10.876713
Chr2SNP406 2 10.953425
Chr2SNP410 2 11.10685
Chr2SNP411 2 11.117809
Chr2SNP427 2 11.70959
Chr2SNP438 2 11.950685
Chr2SNP440 2 12.038357
Chr2SNP449 2 12.520548
Chr2SNP456 2 12.652055
Chr2SNP459 2 12.717809
Chr2SNP462 2 12.827398
Chr2SNP465 2 12.980822
Chr2SNP475 2 13.232877
Chr2SNP489 2 13.813699
Chr2SNP491 2 13.857535
Chr2SNP494 2 14.032877
Chr2SNP502 2 14.186302
Chr2SNP511 2 14.526028
Chr2SNP513 2 14.60274
Chr2SNP514 2 14.613699
Chr2SNP518 2 14.745206
Chr2SNP523 2 14.920548
Chr2SNP534 2 15.249316
Chr2SNP535 2 15.358905
Chr2SNP540 2 15.468494
Chr2SNP543 2 15.556165
Chr2SNP546 2 15.764384
Chr2SNP547 2 15.961644
Chr2SNP549 2 15.994521
Chr2SNP559 2 16.378083
Chr2SNP565 2 16.761644
Chr2SNP570 2 16.871233
Chr2SNP571 2 16.915069
Chr2SNP575 2 17.013699
Chr2SNP580 2 17.320548
Chr2SNP581 2 17.331507
Chr2SNP591 2 17.967124
Chr2SNP608 2 18.756165
Chr2SNP610 2 18.789042
Chr2SNP613 2 18.843836
Chr2SNP617 2 19.073973
Chr2SNP618 2 19.139727
Chr2SNP622 2 19.20548
Chr2SNP626 2 19.413699
Chr2SNP632 2 19.742466
Chr2SNP640 2 20.016439
Chr2SNP648 2 20.312329
Chr2SNP651 2 20.421918
Chr2SNP652 2 20.432877
Chr2SNP653 2 20.498631
Chr2SNP655 2 20.597261
Chr2SNP657 2 20.684932
Chr2SNP659 2 20.728768
Chr2SNP660 2 20.761644
Chr2SNP673 2 21.221918
Chr2SNP675 2 21.276713
Chr2SNP680 2 21.441096
Chr2SNP686 2 21.693151
Chr2SNP695 2 22.021918
Chr2SNP703 2 22.438357
Chr2SNP705 2 22.460274
Chr2SNP706 2 22.493151
Chr2SNP709 2 22.591781
Chr2SNP720 2 23.041096
Chr2SNP723 2 23.183562
Chr2SNP730 2 23.534247
Chr2SNP737 2 23.742466
